,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[-11, -8, 3, -28, -8, -20, 11, -20, 4, -21, -31, 0, -8, 4]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, 2, -8, 4, -20]","[3, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]",1.9107194452470384,1.7414042184339786,2.2154103852596316,1.9107194452470384,error,1.9662337662337663,1.8541916167664672,Violate,No-violate,No-violate,error,No-violate,No-violate,1,0,0,error,0,0
1,"[15, -20, -11, 9]","[9, -20, 15, -11]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[15, 2, -20, -11, 9]","[15, -20, 9]",2.0628778718258767,3.3155985489721886,2.093251533742331,2.0628778718258767,2.0358435547327005,1.364620938628159,2.9263456090651556,Violate,No-violate,No-violate,No-violate,Violate,Violate,1,0,0,0,1,1
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, -15, -23, 0, -12, 14, -6, -1, -22, -12, 7]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, 2, -23, -6, -12, 0, -15, -12, -1, 7]","[-12, 14, -23, -6, -12, 0, -15, -12, -1, 7]",1.4656762295081966,1.4082991803278688,1.7152278177458034,1.4656762295081966,error,2.076175869120654,1.9979564032697548,Violate,No-violate,No-violate,error,No-violate,Violate,1,0,0,error,0,1
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[7, 2, -25]",[7],1.5192878338278932,1.5192878338278932,1.678688524590164,1.5192878338278932,1.519287833827893,1.112094395280236,0.0,No-violate,No-violate,No-violate,No-violate,Violate,No-violate,0,0,0,0,1,0
4,"[-22, 6, 2, -6]","[6, -22, -6, 2]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 2, 6, 2, -6]","[6, 2, -6]",1.542857142857143,1.9714285714285715,1.7419354838709677,1.542857142857143,1.952238805970149,1.1914893617021276,1.0526315789473684,Violate,No-violate,No-violate,Violate,Violate,No-violate,1,0,0,1,1,0
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],0.0,0.0,0.0,0.0,0.0,1.2195121951219512,error,No-violate,No-violate,No-violate,No-violate,No-violate,error,0,0,0,0,0,error
6,"[4, 7, -10, 22, -19]","[4, -19, 7, -10, 22]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 7, -10, 22, -19, 2]","[4, 7, -10, 22]",2.9732673267326732,2.493069306930693,2.8709369024856595,2.9732673267326732,1.0357333571245337,3.396449704142012,2.036979969183359,Violate,Violate,No-violate,No-violate,No-violate,No-violate,1,1,0,0,0,0
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[-15, 19, -2, 14, -10, 13, 4, -25, -3]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 13, -15, -3, -10, 19, 2, 14, -25]","[-2, 13, -15, -3, -10, 19, 14, -25]",2.126099706744868,2.5595307917888563,2.1063335270191748,2.126099706744868,2.3764298671181514,2.3598595669982445,2.1249259917110717,Violate,Violate,No-violate,Violate,No-violate,No-violate,1,1,0,1,0,0
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[10, -19, 5, -7, -19, 10, -20, -30]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 10, 2, -7, -30, 5, -19, -20]","[10, -19, -7, -30, 5, -19, -20]",1.8736933797909407,1.5444250871080138,2.1005859375,1.8736933797909407,2.633356542603154,1.8078260869565217,1.5100182149362478,Violate,No-violate,No-violate,Violate,Violate,No-violate,1,0,0,1,1,0
9,"[4, -16, -7, -14]","[-7, -16, -14, 4]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[4, -16, -7, 2, -14]","[4, -16, -14]",1.0251450676982592,0.7911025145067698,1.3216957605985038,1.0251450676982592,1.1882046834345188,1.5700575815738964,0.8632478632478633,Violate,No-violate,No-violate,Violate,No-violate,No-violate,1,0,0,1,0,0
