,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[-1, -3, 9, 2, -2, 3, -2, 13, 1, 7]","[9, -2, 10, 6, -1, 0, 12, 1, -1, 3]","[3, 1, 13, 6, 2, 7, 2, 17, 5, 11]","[13, 2, 14, 10, 3, 4, 16, 5, 3, 7]","[-1, -3, 9, 2, -2, 3, -2, 13, 1]","[9, -2, 10, 6, -1, 0, 12, 1, -1]","[-1, -3, 9, 2, -2, 3, 4, -2, 13, 1, 7]","[9, -2, 10, 6, -1, 0, 4, 12, 1, -1, 3]","[-1.0, -0.3333333333333333, 0.1111111111111111, 0.5, -0.5, 0.3333333333333333, -0.5, 0.07692307692307693, 1.0, 0.14285714285714285]","[0.1111111111111111, -0.5, 0.1, 0.16666666666666666, -1.0, 'ZeroDivisionError', 0.08333333333333333, 1.0, -1.0, 0.3333333333333333]","[-4, -12, 36, 8, -8, 12, -8, 52, 4, 28]","[36, -8, 40, 24, -4, 0, 48, 4, -4, 12]","[2, -2, -1, 1, 3, 9, -2, 13, -3, 7]","[9, 0, -1, 10, -2, -1, 6, 1, 3, 12]","[10, 1, 1, 4, 1, -3, 14, -12, -2, -4]","[7, 2, 0, 9, -5, -10, 8, -12, 6, 5]","[10, 1, 1, 4, 1, -3, 14, -12, -2, -4]","[40, 4, 4, 16, 4, -12, 56, -48, -8, -16]",error,"[10, 1, 1, 4, 1, -3, 0, 14, -12, -2, -4]","[10, 1, 1, 4, 1, -3, 14, -12, -2]",Violate,Violate,Violate,error,No-violate,No-violate,1,1,1,error,0,0
1,"[-6, 1, 3, -6, -7, -3, -2, -2, 1, 6]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 2]","[-2, 5, 7, -2, -3, 1, 2, 2, 5, 10]","[0, 4, 8, 0, 4, 2, 7, 1, 8, 6]","[-6, 1, 3, -6, -7, -3, -2, 1, 6]","[-4, 0, 4, -4, 0, -2, -3, 4, 2]","[-6, 1, 3, -6, -7, -3, -2, -2, 1, 6, 4]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 2, 4]","[-0.16666666666666666, 1.0, 0.3333333333333333, -0.16666666666666666, -0.14285714285714285, -0.3333333333333333, -0.5, -0.5, 1.0, 0.16666666666666666]","[-0.25, 'ZeroDivisionError', 0.25, -0.25, 'ZeroDivisionError', -0.5, 0.3333333333333333, -0.3333333333333333, 0.25, 0.5]","[-24, 4, 12, -24, -28, -12, -8, -8, 4, 24]","[-16, 0, 16, -16, 0, -8, 12, -12, 16, 8]","[1, -2, 1, -6, -2, -7, 6, -6, 3, -3]","[-4, -3, -2, 3, 0, -4, 0, 4, 2, 4]","[2, -1, 1, 2, 7, 1, 5, -1, 3, -4]","[-5, -1, -3, 9, 2, 3, -6, 10, -1, 7]","[2, -1, 1, 2, 7, 1, 5, -1, 3, -4]","[8, -4, 4, 8, 28, 4, 20, -4, 12, -16]",error,"[2, -1, 1, 2, 7, 1, 5, -1, 3, -4, 0]","[2, -1, 1, 2, 7, 1, -1, 3, -4]",Violate,Violate,Violate,error,No-violate,No-violate,1,1,1,error,0,0
2,"[-4, -3, -2, -4, 2, 0, -5, 4]","[0, 2, 4, -6, 0, -2, 4, -6]","[0, 1, 2, 0, 6, 4, -1, 8]","[4, 6, 8, -2, 4, 2, 8, -2]","[-4, -3, -4, 2, 0, -5, 4]","[0, 2, -6, 0, -2, 4, -6]","[-4, -3, 4, -2, -4, 2, 0, -5, 4]","[0, 2, 4, 4, -6, 0, -2, 4, -6]","[-0.25, -0.3333333333333333, -0.5, -0.25, 0.5, 'ZeroDivisionError', -0.2, 0.25]","['ZeroDivisionError', 0.5, 0.25, -0.16666666666666666, 'ZeroDivisionError', -0.5, 0.25, -0.16666666666666666]","[-16, -12, -8, -16, 8, 0, -20, 16]","[0, 8, 16, -24, 0, -8, 16, -24]","[-4, -5, -4, -2, 0, -3, 4, 2]","[-6, -2, 2, 4, 4, 0, 0, -6]","[4, 5, 6, -2, -2, -2, 9, -10]","[-2, 3, 6, 6, 4, 3, -4, -8]","[4, 5, 6, -2, -2, -2, 9, -10]","[16, 20, 24, -8, -8, -8, 36, -40]",error,"[4, 5, 0, 6, -2, -2, -2, 9, -10]","[4, 5, -2, -2, -2, 9, -10]",Violate,Violate,Violate,error,No-violate,No-violate,1,1,1,error,0,0
3,"[12, -2, 0, 4, 1, 11, -2]","[3, 4, 10, 11, -2, 1, 3]","[16, 2, 4, 8, 5, 15, 2]","[7, 8, 14, 15, 2, 5, 7]","[12, -2, 0, 4, 1, -2]","[3, 4, 10, 11, -2, 3]","[12, -2, 0, 4, 1, 11, -2, 4]","[3, 4, 10, 11, -2, 1, 3, 4]","[0.08333333333333333, -0.5, 'ZeroDivisionError', 0.25, 1.0, 0.09090909090909091, -0.5]","[0.3333333333333333, 0.25, 0.1, 0.09090909090909091, -0.5, 1.0, 0.3333333333333333]","[48, -8, 0, 16, 4, 44, -8]","[12, 16, 40, 44, -8, 4, 12]","[-2, 1, 0, 12, 11, -2, 4]","[3, 10, 3, -2, 4, 1, 11]","[-9, 6, 10, 7, -3, -10, 5]","[5, 9, 3, -14, -7, 3, 7]","[-9, 6, 10, 7, -3, -10, 5]","[-36, 24, 40, 28, -12, -40, 20]",error,"[-9, 6, 10, 7, -3, -10, 5, 0]","[-9, 6, 10, 7, -3, 5]",Violate,Violate,Violate,error,No-violate,No-violate,1,1,1,error,0,0
4,"[-14, -5, 5, -1, 1]","[3, 5, 2, -14, 7]","[-10, -1, 9, 3, 5]","[7, 9, 6, -10, 11]","[-14, -5, 5, 1]","[3, 5, 2, 7]","[4, -14, -5, 5, -1, 1]","[4, 3, 5, 2, -14, 7]","[-0.07142857142857142, -0.2, 0.2, -1.0, 1.0]","[0.3333333333333333, 0.2, 0.5, -0.07142857142857142, 0.14285714285714285]","[-56, -20, 20, -4, 4]","[12, 20, 8, -56, 28]","[-5, 1, -1, 5, -14]","[2, 5, 7, -14, 3]","[17, 10, -3, -13, 6]","[7, 4, 8, -19, 17]","[17, 10, -3, -13, 6]","[68, 40, -12, -52, 24]","[0.40476190476190477, 0.4, 0.3, 0.9285714285714286, -0.8571428571428572]","[0, 17, 10, -3, -13, 6]","[17, 10, -3, 6]",Violate,Violate,Violate,Violate,No-violate,No-violate,1,1,1,1,0,0
5,"[-1, 4, 4, 5]","[1, -2, -3, -3]","[3, 8, 8, 9]","[5, 2, 1, 1]","[-1, 4, 5]","[1, -2, -3]","[-1, 4, 4, 4, 5]","[1, 4, -2, -3, -3]","[-1.0, 0.25, 0.25, 0.2]","[1.0, -0.5, -0.3333333333333333, -0.3333333333333333]","[-4, 16, 16, 20]","[4, -8, -12, -12]","[4, -1, 5, 4]","[1, -3, -3, -2]","[2, -6, -7, -8]","[-3, -2, -8, -6]","[2, -6, -7, -8]","[8, -24, -28, -32]","[2.0, -0.75, -0.5833333333333333, -0.5333333333333333]","[2, 0, -6, -7, -8]","[2, -6, -8]",Violate,Violate,Violate,Violate,No-violate,No-violate,1,1,1,1,0,0
6,"[2, 5, -3, 11, 10, 0, -8, -5, 11]","[-5, 6, 3, 2, 0, -7, -5, 3, -8]","[6, 9, 1, 15, 14, 4, -4, -1, 15]","[-1, 10, 7, 6, 4, -3, -1, 7, -4]","[2, 5, -3, 11, 10, -8, -5, 11]","[-5, 6, 3, 2, 0, -5, 3, -8]","[4, 2, 5, -3, 11, 10, 0, -8, -5, 11]","[4, -5, 6, 3, 2, 0, -7, -5, 3, -8]","[0.5, 0.2, -0.3333333333333333, 0.09090909090909091, 0.1, 'ZeroDivisionError', -0.125, -0.2, 0.09090909090909091]","[-0.2, 0.16666666666666666, 0.3333333333333333, 0.5, 'ZeroDivisionError', -0.14285714285714285, -0.2, 0.3333333333333333, -0.125]","[8, 20, -12, 44, 40, 0, -32, -20, 44]","[-20, 24, 12, 8, 0, -28, -20, 12, -32]","[5, 11, -5, 0, -8, 2, 11, -3, 10]","[-5, -7, 0, 2, 3, -5, 6, 3, -8]","[-7, 1, 6, -9, -10, -7, 3, 8, -19]","[-10, -18, 5, 2, 11, -7, -5, 6, -18]","[-7, 1, 6, -9, -10, -7, 3, 8, -19]","[-28, 4, 24, -36, -40, -28, 12, 32, -76]",error,"[0, -7, 1, 6, -9, -10, -7, 3, 8, -19]","[-7, 1, 6, -9, -10, 3, 8, -19]",Violate,Violate,Violate,error,No-violate,No-violate,1,1,1,error,0,0
7,"[-8, 7, -2, 4, -10]","[5, -10, -2, 11, -4]","[-4, 11, 2, 8, -6]","[9, -6, 2, 15, 0]","[7, -2, 4, -10]","[-10, -2, 11, -4]","[-8, 7, 4, -2, 4, -10]","[5, -10, 4, -2, 11, -4]","[-0.125, 0.14285714285714285, -0.5, 0.25, -0.1]","[0.2, -0.1, -0.5, 0.09090909090909091, -0.25]","[-32, 28, -8, 16, -40]","[20, -40, -8, 44, -16]","[7, 4, -10, -8, -2]","[-10, -2, 11, -4, 5]","[13, -17, 0, 7, 6]","[-17, -6, 21, 4, 7]","[13, -17, 0, 7, 6]","[52, -68, 0, 28, 24]","[0.325, -0.24285714285714285, 0.0, -0.1590909090909091, -0.15]","[13, -17, 0, 0, 7, 6]","[-17, 0, 7, 6]",Violate,Violate,Violate,Violate,No-violate,No-violate,1,1,1,1,0,0
8,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],[],[],[],[],[],[0],[],No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
9,"[5, 13, -2, 4, -4]","[-1, 6, -5, -1, 16]","[9, 17, 2, 8, 0]","[3, 10, -1, 3, 20]","[5, 13, 4, -4]","[-1, 6, -1, 16]","[5, 13, -2, 4, 4, -4]","[-1, 6, -5, 4, -1, 16]","[0.2, 0.07692307692307693, -0.5, 0.25, -0.25]","[-1.0, 0.16666666666666666, -0.2, -1.0, 0.0625]","[20, 52, -8, 16, -16]","[-4, 24, -20, -4, 64]","[4, -4, 5, 13, -2]","[-1, 6, -1, -5, 16]","[-6, -7, -3, -5, 20]","[-5, 10, -6, -18, 18]","[-6, -7, -3, -5, 20]","[-24, -28, -12, -20, 80]","[-1.2, 0.08974358974358973, 0.3, -1.25, 0.3125]","[-6, -7, -3, 0, -5, 20]","[-6, -7, -5, 20]",Violate,Violate,Violate,Violate,No-violate,No-violate,1,1,1,1,0,0
