,td_a,td_b,td_ttd_a_MR_ADD,td_ttd_b_MR_ADD,td_ttd_a_MR_EXC,td_ttd_b_MR_EXC,td_ttd_a_MR_INC,td_ttd_b_MR_INC,td_ttd_a_MR_INV,td_ttd_b_MR_INV,td_ttd_a_MR_MUL,td_ttd_b_MR_MUL,td_ttd_a_MR_PER,td_ttd_b_MR_PER,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[-1, -3, 9, 2, -2, 3, -2, 13, 1, 7]","[9, -2, 10, 6, -1, 0, 12, 1, -1, 3]","[3, 1, 13, 6, 2, 7, 2, 17, 5, 11]","[13, 2, 14, 10, 3, 4, 16, 5, 3, 7]","[-1, -3, 9, 2, -2, 3, -2, 13, 1]","[9, -2, 10, 6, -1, 0, 12, 1, -1]","[-1, -3, 9, 2, -2, 3, 4, -2, 13, 1, 7]","[9, -2, 10, 6, -1, 0, 4, 12, 1, -1, 3]","[-1.0, -0.3333333333333333, 0.1111111111111111, 0.5, -0.5, 0.3333333333333333, -0.5, 0.07692307692307693, 1.0, 0.14285714285714285]","[0.1111111111111111, -0.5, 0.1, 0.16666666666666666, -1.0, 'ZeroDivisionError', 0.08333333333333333, 1.0, -1.0, 0.3333333333333333]","[-4, -12, 36, 8, -8, 12, -8, 52, 4, 28]","[36, -8, 40, 24, -4, 0, 48, 4, -4, 12]","[2, -2, -1, 1, 3, 9, -2, 13, -3, 7]","[9, 0, -1, 10, -2, -1, 6, 1, 3, 12]",3.2,3.2,7.2,12.8,error,3.272727272727273,3.0,No-violate,No-violate,No-violate,error,No-violate,No-violate,0,0,0,error,0,0
1,"[-6, 1, 3, -6, -7, -3, -2, -2, 1, 6]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 2]","[-2, 5, 7, -2, -3, 1, 2, 2, 5, 10]","[0, 4, 8, 0, 4, 2, 7, 1, 8, 6]","[-6, 1, 3, -6, -7, -3, -2, 1, 6]","[-4, 0, 4, -4, 0, -2, -3, 4, 2]","[-6, 1, 3, -6, -7, -3, -2, -2, 1, 6, 4]","[-4, 0, 4, -4, 0, -2, 3, -3, 4, 2, 4]","[-0.16666666666666666, 1.0, 0.3333333333333333, -0.16666666666666666, -0.14285714285714285, -0.3333333333333333, -0.5, -0.5, 1.0, 0.16666666666666666]","[-0.25, 'ZeroDivisionError', 0.25, -0.25, 'ZeroDivisionError', -0.5, 0.3333333333333333, -0.3333333333333333, 0.25, 0.5]","[-24, 4, 12, -24, -28, -12, -8, -8, 4, 24]","[-16, 0, 16, -16, 0, -8, 12, -12, 16, 8]","[1, -2, 1, -6, -2, -7, 6, -6, 3, -3]","[-4, -3, -2, 3, 0, -4, 0, 4, 2, 4]",-0.75,-0.75,3.25,-3.0,error,-0.3181818181818182,-0.8888888888888888,No-violate,No-violate,Violate,error,No-violate,No-violate,0,0,1,error,0,0
2,"[-4, -3, -2, -4, 2, 0, -5, 4]","[0, 2, 4, -6, 0, -2, 4, -6]","[0, 1, 2, 0, 6, 4, -1, 8]","[4, 6, 8, -2, 4, 2, 8, -2]","[-4, -3, -4, 2, 0, -5, 4]","[0, 2, -6, 0, -2, 4, -6]","[-4, -3, 4, -2, -4, 2, 0, -5, 4]","[0, 2, 4, 4, -6, 0, -2, 4, -6]","[-0.25, -0.3333333333333333, -0.5, -0.25, 0.5, 'ZeroDivisionError', -0.2, 0.25]","['ZeroDivisionError', 0.5, 0.25, -0.16666666666666666, 'ZeroDivisionError', -0.5, 0.25, -0.16666666666666666]","[-16, -12, -8, -16, 8, 0, -20, 16]","[0, 8, 16, -24, 0, -8, 16, -24]","[-4, -5, -4, -2, 0, -3, 4, 2]","[-6, -2, 2, 4, 4, 0, 0, -6]",-1.0,-1.0,3.0,-4.0,error,-0.4444444444444444,-1.2857142857142858,No-violate,No-violate,Violate,error,No-violate,No-violate,0,0,1,error,0,0
3,"[12, -2, 0, 4, 1, 11, -2]","[3, 4, 10, 11, -2, 1, 3]","[16, 2, 4, 8, 5, 15, 2]","[7, 8, 14, 15, 2, 5, 7]","[12, -2, 0, 4, 1, -2]","[3, 4, 10, 11, -2, 3]","[12, -2, 0, 4, 1, 11, -2, 4]","[3, 4, 10, 11, -2, 1, 3, 4]","[0.08333333333333333, -0.5, 'ZeroDivisionError', 0.25, 1.0, 0.09090909090909091, -0.5]","[0.3333333333333333, 0.25, 0.1, 0.09090909090909091, -0.5, 1.0, 0.3333333333333333]","[48, -8, 0, 16, 4, 44, -8]","[12, 16, 40, 44, -8, 4, 12]","[-2, 1, 0, 12, 11, -2, 4]","[3, 10, 3, -2, 4, 1, 11]",3.857142857142857,3.857142857142857,7.857142857142857,15.428571428571429,error,3.875,3.5,No-violate,No-violate,No-violate,error,No-violate,No-violate,0,0,0,error,0,0
4,"[-14, -5, 5, -1, 1]","[3, 5, 2, -14, 7]","[-10, -1, 9, 3, 5]","[7, 9, 6, -10, 11]","[-14, -5, 5, 1]","[3, 5, 2, 7]","[4, -14, -5, 5, -1, 1]","[4, 3, 5, 2, -14, 7]","[-0.07142857142857142, -0.2, 0.2, -1.0, 1.0]","[0.3333333333333333, 0.2, 0.5, -0.07142857142857142, 0.14285714285714285]","[-56, -20, 20, -4, 4]","[12, 20, 8, -56, 28]","[-5, 1, -1, 5, -14]","[2, 5, 7, -14, 3]",-1.1,-1.1,2.9,-4.4,0.10333333333333332,-0.25,0.5,No-violate,No-violate,Violate,Violate,No-violate,Violate,0,0,1,1,0,1
5,"[-1, 4, 4, 5]","[1, -2, -3, -3]","[3, 8, 8, 9]","[5, 2, 1, 1]","[-1, 4, 5]","[1, -2, -3]","[-1, 4, 4, 4, 5]","[1, 4, -2, -3, -3]","[-1.0, 0.25, 0.25, 0.2]","[1.0, -0.5, -0.3333333333333333, -0.3333333333333333]","[-4, 16, 16, 20]","[4, -8, -12, -12]","[4, -1, 5, 4]","[1, -3, -3, -2]",0.625,0.625,4.625,2.5,-0.05833333333333333,1.3,0.6666666666666666,No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
6,"[2, 5, -3, 11, 10, 0, -8, -5, 11]","[-5, 6, 3, 2, 0, -7, -5, 3, -8]","[6, 9, 1, 15, 14, 4, -4, -1, 15]","[-1, 10, 7, 6, 4, -3, -1, 7, -4]","[2, 5, -3, 11, 10, -8, -5, 11]","[-5, 6, 3, 2, 0, -5, 3, -8]","[4, 2, 5, -3, 11, 10, 0, -8, -5, 11]","[4, -5, 6, 3, 2, 0, -7, -5, 3, -8]","[0.5, 0.2, -0.3333333333333333, 0.09090909090909091, 0.1, 'ZeroDivisionError', -0.125, -0.2, 0.09090909090909091]","[-0.2, 0.16666666666666666, 0.3333333333333333, 0.5, 'ZeroDivisionError', -0.14285714285714285, -0.2, 0.3333333333333333, -0.125]","[8, 20, -12, 44, 40, 0, -32, -20, 44]","[-20, 24, 12, 8, 0, -28, -20, 12, -32]","[5, 11, -5, 0, -8, 2, 11, -3, 10]","[-5, -7, 0, 2, 3, -5, 6, 3, -8]",0.6666666666666666,0.6666666666666666,4.666666666666667,2.6666666666666665,error,1.0,1.1875,No-violate,No-violate,No-violate,error,No-violate,Violate,0,0,0,error,0,1
7,"[-8, 7, -2, 4, -10]","[5, -10, -2, 11, -4]","[-4, 11, 2, 8, -6]","[9, -6, 2, 15, 0]","[7, -2, 4, -10]","[-10, -2, 11, -4]","[-8, 7, 4, -2, 4, -10]","[5, -10, 4, -2, 11, -4]","[-0.125, 0.14285714285714285, -0.5, 0.25, -0.1]","[0.2, -0.1, -0.5, 0.09090909090909091, -0.25]","[-32, 28, -8, 16, -40]","[20, -40, -8, 44, -16]","[7, 4, -10, -8, -2]","[-10, -2, 11, -4, 5]",-0.9,-0.9,3.1,-3.6,-0.08912337662337663,-0.08333333333333333,-0.75,No-violate,No-violate,Violate,Violate,No-violate,Violate,0,0,1,1,0,1
8,[],[],[],[],[],[],[4],[4],[],[],[],[],[],[],error,error,error,error,error,4.0,error,error,error,error,error,error,error,error,error,error,error,error,error
9,"[5, 13, -2, 4, -4]","[-1, 6, -5, -1, 16]","[9, 17, 2, 8, 0]","[3, 10, -1, 3, 20]","[5, 13, 4, -4]","[-1, 6, -1, 16]","[5, 13, -2, 4, 4, -4]","[-1, 6, -5, 4, -1, 16]","[0.2, 0.07692307692307693, -0.5, 0.25, -0.25]","[-1.0, 0.16666666666666666, -0.2, -1.0, 0.0625]","[20, 52, -8, 16, -16]","[-4, 24, -20, -4, 64]","[4, -4, 5, 13, -2]","[-1, 6, -1, -5, 16]",3.1,3.1,7.1,12.4,-0.21939102564102564,3.25,4.75,No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
10,"[4, -1, 6, -7, 11, 13, -1]","[-1, 3, -8, -2, 0, 7, 1]","[8, 3, 10, -3, 15, 17, 3]","[3, 7, -4, 2, 4, 11, 5]","[4, -1, 6, -7, 13, -1]","[-1, 3, -8, -2, 7, 1]","[4, -1, 6, -7, 11, 13, 4, -1]","[-1, 3, -8, -2, 0, 7, 4, 1]","[0.25, -1.0, 0.16666666666666666, -0.14285714285714285, 0.09090909090909091, 0.07692307692307693, -1.0]","[-1.0, 0.3333333333333333, -0.125, -0.5, 'ZeroDivisionError', 0.14285714285714285, 1.0]","[16, -4, 24, -28, 44, 52, -4]","[-4, 12, -32, -8, 0, 28, 4]","[-1, -7, -1, 6, 13, 11, 4]","[1, -2, 3, -1, -8, 7, 0]",1.7857142857142858,1.7857142857142858,5.785714285714286,7.142857142857143,error,2.0625,1.1666666666666667,No-violate,No-violate,No-violate,error,No-violate,No-violate,0,0,0,error,0,0
11,"[1, 0, 14, 6, 14]","[18, 17, -2, 16, 14]","[5, 4, 18, 10, 18]","[22, 21, 2, 20, 18]","[1, 0, 6, 14]","[18, 17, 16, 14]","[1, 0, 14, 6, 4, 14]","[18, 17, -2, 16, 4, 14]","[1.0, 'ZeroDivisionError', 0.07142857142857142, 0.16666666666666666, 0.07142857142857142]","[0.05555555555555555, 0.058823529411764705, -0.5, 0.0625, 0.07142857142857142]","[4, 0, 56, 24, 56]","[72, 68, -8, 64, 56]","[1, 14, 0, 14, 6]","[-2, 16, 18, 17, 14]",9.8,9.8,13.8,39.2,error,8.833333333333334,10.75,No-violate,No-violate,No-violate,error,Violate,Violate,0,0,0,error,1,1
12,"[-1, 5, 11, 0, 0, 7]","[-2, -4, 12, 7, 1, 4]","[3, 9, 15, 4, 4, 11]","[2, 0, 16, 11, 5, 8]","[-1, 5, 0, 0, 7]","[-2, -4, 7, 1, 4]","[-1, 5, 11, 4, 0, 0, 7]","[-2, -4, 12, 4, 7, 1, 4]","[-1.0, 0.2, 0.09090909090909091, 'ZeroDivisionError', 'ZeroDivisionError', 0.14285714285714285]","[-0.5, -0.25, 0.08333333333333333, 0.14285714285714285, 1.0, 0.25]","[-4, 20, 44, 0, 0, 28]","[-8, -16, 48, 28, 4, 16]","[0, 11, 5, 0, -1, 7]","[4, 7, 1, -2, -4, 12]",3.3333333333333335,3.3333333333333335,7.333333333333333,13.333333333333334,error,3.4285714285714284,1.7,No-violate,No-violate,No-violate,error,No-violate,No-violate,0,0,0,error,0,0
13,"[3, 1, -4, 6, 7]","[-2, 5, -4, -7, 3]","[7, 5, 0, 10, 11]","[2, 9, 0, -3, 7]","[3, 1, 6, 7]","[-2, 5, -7, 3]","[3, 4, 1, -4, 6, 7]","[-2, 4, 5, -4, -7, 3]","[0.3333333333333333, 1.0, -0.25, 0.16666666666666666, 0.14285714285714285]","[-0.5, 0.2, -0.25, -0.14285714285714285, 0.3333333333333333]","[12, 4, -16, 24, 28]","[-8, 20, -16, -28, 12]","[7, 3, 1, -4, 6]","[-4, -7, 3, 5, -2]",0.8,0.8,4.8,3.2,0.10333333333333332,1.3333333333333333,2.0,No-violate,No-violate,No-violate,No-violate,No-violate,Violate,0,0,0,0,0,1
