,td,ttd_mr_per,ttd_mr_add,ttd_mr_mul,ttd_mr_inv,ttd_mr_inc,ttd_mr_exc,td_output,ttd_output_mr_per,ttd_output_mr_add,ttd_output_mr_mul,ttd_output_mr_inv,ttd_output_mr_inc,ttd_output_mr_exc,vs_str_mr_per,vs_str_mr_add,vs_str_mr_mul,vs_str_mr_inv,vs_str_mr_inc,vs_str_mr_exc,vs_mr_per,vs_mr_add,vs_mr_mul,vs_mr_inv,vs_mr_inc,vs_mr_exc
0,"[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4, -20]","[11, -8, 0, 4, -20, -31, -21, 4, -8, -8, -20, -11, 3, -28]","[5, -9, 6, -26, 13, -29, -6, -19, -18, 2, -6, -6, 6, -18]","[6, -22, 8, -56, 22, -62, -16, -42, -40, 0, -16, -16, 8, -40]","[0.3333333333333333, -0.09090909090909091, 0.25, -0.03571428571428571, 0.09090909090909091, -0.03225806451612903, -0.125, -0.047619047619047616, -0.05, 'ZeroDivisionError', -0.125, -0.125, 0.25, -0.05]","[3, -11, 4, -28, 11, -31, 2, -8, -21, -20, 0, -8, -8, 4, -20]","[3, -11, 4, -28, 11, -31, -8, -21, -20, 0, -8, -8, 4]","[0.9977220927136797, -0.11972665112564157, 1.0775398601307742, -1.4766286972162461, 1.6362642320504348, -1.7160819994675292, 0.11972665112564157, -0.9179043252965854, -0.8380865578794909, 0.7582687904623966, 0.11972665112564157, 0.11972665112564157, 1.0775398601307742, -0.8380865578794909]","[1.6362642320504348, 0.11972665112564157, 0.7582687904623966, 1.0775398601307742, -0.8380865578794909, -1.7160819994675292, -0.9179043252965854, 1.0775398601307742, 0.11972665112564157, 0.11972665112564157, -0.8380865578794909, -0.11972665112564157, 0.9977220927136797, -1.4766286972162461]","[0.9977220927136797, -0.11972665112564157, 1.0775398601307742, -1.4766286972162461, 1.6362642320504348, -1.7160819994675292, 0.11972665112564157, -0.9179043252965854, -0.8380865578794909, 0.7582687904623966, 0.11972665112564157, 0.11972665112564157, 1.0775398601307742, -0.8380865578794909]","[0.9977220927136797, -0.11972665112564157, 1.0775398601307742, -1.4766286972162461, 1.6362642320504348, -1.7160819994675292, 0.11972665112564157, -0.9179043252965854, -0.8380865578794909, 0.7582687904623966, 0.11972665112564157, 0.11972665112564157, 1.0775398601307742, -0.8380865578794909]",error,"[0.9432693116563439, -0.18222248066088467, 1.023661582536146, -1.548891085617519, 1.5864074786947602, -1.7900678982569251, 0.8628770407765418, 0.05895433197852143, -0.9861451894589051, -0.905752918579103, 0.7020924990169377, 0.05895433197852143, 0.05895433197852143, 1.023661582536146, -0.905752918579103]","[0.9246316854296169, -0.18249309580847708, 1.0037120269466238, -1.526858901597591, 1.5572744175656708, -1.7640999261486112, 0.054747928742543056, -0.9732965109785443, -0.8942161694615376, 0.6873906608785968, 0.054747928742543056, 0.054747928742543056, 1.0037120269466238]",No-violate,Violate,Violate,error,No-violate,No-violate,0,1,1,error,0,0
1,"[15, -20, -11, 9]","[-20, 15, 9, -11]","[17, -18, -9, 11]","[30, -40, -22, 18]","[0.06666666666666667, -0.05, -0.09090909090909091, 0.1111111111111111]","[2, 15, -20, -11, 9]","[15, -11, 9]","[1.1736338378703526, -1.2787353755900854, -0.6481261492716872, 0.7532276869914203]","[-1.2787353755900854, 1.1736338378703526, 0.7532276869914203, -0.6481261492716872]","[1.1736338378703526, -1.2787353755900854, -0.6481261492716872, 0.7532276869914203]","[1.1736338378703526, -1.2787353755900854, -0.6481261492716872, 0.7532276869914203]","[0.6964884942081428, -0.7179189094145472, -1.2138799470484773, 1.2353103622548818]","[0.23340826653355393, 1.2448440881789542, -1.4782523547125082, -0.7780275551118464, 0.7780275551118464]","[0.9596162302465076, -1.3794483309793544, 0.41983210073284705]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
2,"[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7]","[-22, -15, -12, 0, 14, -23, -12, -6, -1, 7, -12]","[-10, 16, -20, -21, -4, -10, 2, -13, -10, 1, 9]","[-24, 28, -44, -46, -12, -24, 0, -30, -24, -2, 14]","[-0.08333333333333333, 0.07142857142857142, -0.045454545454545456, -0.043478260869565216, -0.16666666666666666, -0.08333333333333333, 'ZeroDivisionError', -0.06666666666666667, -0.08333333333333333, -1.0, 0.14285714285714285]","[-12, 14, -22, -23, -6, -12, 0, -15, -12, -1, 7, 2]","[-12, 14, -22, -23, -6, -12, -15, -12, -1, 7]","[-0.41172139905777777, 1.9433250035527108, -1.3175084769848888, -1.4080871847776, 0.13175084769848883, -0.41172139905777777, 0.6752230944547555, -0.6834575224359111, -0.41172139905777777, 0.5846443866620443, 1.3092740490037331]","[-1.317508476984889, -0.6834575224359112, -0.4117213990577778, 0.6752230944547556, 1.943325003552711, -1.4080871847776002, -0.4117213990577778, 0.13175084769848885, 0.5846443866620444, 1.3092740490037333, -0.4117213990577778]","[-0.41172139905777777, 1.9433250035527108, -1.3175084769848888, -1.4080871847776, 0.13175084769848883, -0.41172139905777777, 0.6752230944547555, -0.6834575224359111, -0.41172139905777777, 0.5846443866620443, 1.3092740490037331]","[-0.41172139905777777, 1.9433250035527108, -1.3175084769848888, -1.4080871847776, 0.13175084769848883, -0.41172139905777777, 0.6752230944547555, -0.6834575224359111, -0.41172139905777777, 0.5846443866620443, 1.3092740490037331]",error,"[-0.4898214199381016, 1.8980580022601439, -1.408236582322042, -1.500078098560436, 0.061227677492262725, -0.4898214199381016, 0.612276774922627, -0.7653459686532836, -0.4898214199381016, 0.520435258684233, 1.2551673885913854, 0.7959598073994152]","[-0.33592821394836664, 1.9625279867509837, -1.2199498296019629, -1.3083519911673225, 0.19448475544379112, -0.33592821394836664, -0.6011346986444456, -0.33592821394836664, 0.6364955632705892, 1.3437128557934663]",Violate,Violate,Violate,error,No-violate,No-violate,1,1,1,error,0,0
3,"[7, -25]","[-25, 7]","[9, -23]","[14, -50]","[0.14285714285714285, -0.04]","[7, 2, -25]",[-25],"[1.0, -1.0]","[-1.0, 1.0]","[1.0, -1.0]","[1.0, -1.0]","[1.0, -0.9999999999999999]","[0.8774772100848104, 0.5217432059963738, -1.3992204160811843]",error,No-violate,Violate,Violate,Violate,No-violate,Violate,0,1,1,1,0,1
4,"[-22, 6, 2, -6]","[6, 2, -6, -22]","[-20, 8, 4, -4]","[-44, 12, 4, -12]","[-0.045454545454545456, 0.16666666666666666, 0.5, -0.16666666666666666]","[-22, 2, 6, 2, -6]","[6, 2, -6]","[-1.5852581740085334, 1.025755289064345, 0.6527533657682196, -0.09325048082403138]","[1.025755289064345, 0.6527533657682196, -0.09325048082403138, -1.5852581740085334]","[-1.5852581740085334, 1.025755289064345, 0.6527533657682196, -0.09325048082403138]","[-1.5852581740085334, 1.025755289064345, 0.6527533657682196, -0.09325048082403138]","[-0.6289003856472539, 0.20963346188241788, 1.5273295080004736, -1.1080625842356377]","[-1.8414737687585019, 0.560448538317805, 0.9607689228305227, 0.560448538317805, -0.24019223070763068]","[1.0690449676496976, 0.26726124191242445, -1.336306209562122]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
5,[-18],[-18],[-16],[-36],[-0.05555555555555555],"[-18, 2]",[],error,error,error,error,error,"[-1.0, 1.0]",error,error,error,error,error,Violate,error,error,error,error,error,1,error
6,"[4, 7, -10, 22, -19]","[22, 4, -10, 7, -19]","[6, 9, -8, 24, -17]","[8, 14, -20, 44, -38]","[0.25, 0.14285714285714285, -0.1, 0.045454545454545456, -0.05263157894736842]","[4, 7, -10, 2, 22, -19]","[4, -10, 22, -19]","[0.2255087392936577, 0.43692318238146177, -0.7610919951160947, 1.493995397820482, -1.395335324379507]","[1.4939953978204819, 0.22550873929365767, -0.7610919951160946, 0.4369231823814617, -1.3953353243795068]","[0.2255087392936577, 0.43692318238146177, -0.7610919951160947, 1.493995397820482, -1.395335324379507]","[0.2255087392936577, 0.43692318238146177, -0.7610919951160947, 1.493995397820482, -1.395335324379507]","[1.5113530991205357, 0.6717422461040062, -1.2313756874001274, -0.09154034754738424, -0.8601793102770301]","[0.23145502494313785, 0.4629100498862757, -0.8486684247915055, 0.07715167498104596, 1.620185174601965, -1.543033499620919]","[0.30681099337932694, -0.5974740397386893, 1.4694631788167762, -1.178800132457414]",Violate,Violate,Violate,Violate,No-violate,No-violate,1,1,1,1,0,0
7,"[4, -2, 13, -15, -3, -10, 19, 14, -25]","[-3, 14, -2, 19, -15, -25, -10, 4, 13]","[6, 0, 15, -13, -1, -8, 21, 16, -23]","[8, -4, 26, -30, -6, -20, 38, 28, -50]","[0.25, -0.5, 0.07692307692307693, -0.06666666666666667, -0.3333333333333333, -0.1, 0.05263157894736842, 0.07142857142857142, -0.04]","[4, -2, 13, 2, -15, -3, -10, 19, 14, -25]","[-2, 13, -15, -3, -10, 19, 14, -25]","[0.3312489223589545, -0.10503014611381484, 0.9856675250681085, -1.0503014611381485, -0.17774332419260974, -0.6867355707441739, 1.421946593540878, 1.0583807031469032, -1.7774332419260972]","[-0.17774332419260974, 1.0583807031469032, -0.10503014611381484, 1.421946593540878, -1.0503014611381485, -1.7774332419260972, -0.6867355707441739, 0.3312489223589545, 0.9856675250681085]","[0.3312489223589545, -0.10503014611381484, 0.9856675250681085, -1.0503014611381485, -0.17774332419260974, -0.6867355707441739, 1.421946593540878, 1.0583807031469032, -1.7774332419260972]","[0.3312489223589545, -0.10503014611381484, 0.9856675250681085, -1.0503014611381485, -0.17774332419260974, -0.6867355707441739, 1.421946593540878, 1.0583807031469032, -1.7774332419260972]","[1.4691872466502456, -2.0239284017840222, 0.6630836354731069, -0.005683804910889764, -1.2476804799097405, -0.16093338928574613, 0.5499462865359646, 0.6374930446420864, 0.11851586258899531]","[0.32901205382384396, -0.1300745329071011, 1.0176419339202616, 0.1759831915801956, -1.1247621374908154, -0.2065889640289253, -0.7421899818816945, 1.4767285206512066, 1.0941563650420858, -1.889906448709057]","[-0.06040096336606812, 0.9750441229093854, -0.9577867048047944, -0.12943063578443167, -0.6126383427129767, 1.3892221574195667, 1.044073795327749, -1.64808342898843]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
8,"[10, -19, 10, -7, -30, 5, -19, -20]","[-19, 5, 10, -7, 10, -19, -30, -20]","[12, -17, 12, -5, -28, 7, -17, -18]","[20, -38, 20, -14, -60, 10, -38, -40]","[0.1, -0.05263157894736842, 0.1, -0.14285714285714285, -0.03333333333333333, 0.2, -0.05263157894736842, -0.05]","[10, -19, 10, -7, -30, 5, 2, -19, -20]","[10, -19, 10, -7, -30, 5, -19]","[1.292527241734839, -0.7065815588150453, 1.292527241734839, 0.12063587589525164, -1.4648642072994842, 0.9478533106055486, -0.7065815588150453, -0.7755163450409034]","[-0.7065815588150453, 0.9478533106055486, 1.292527241734839, 0.12063587589525164, 1.292527241734839, -0.7065815588150453, -1.4648642072994842, -0.7755163450409034]","[1.292527241734839, -0.7065815588150453, 1.292527241734839, 0.12063587589525164, -1.4648642072994842, 0.9478533106055486, -0.7065815588150453, -0.7755163450409034]","[1.292527241734839, -0.7065815588150453, 1.292527241734839, 0.12063587589525164, -1.4648642072994842, 0.9478533106055486, -0.7065815588150453, -0.7755163450409034]","[0.8669915228066979, -0.5803213773523674, 0.8669915228066979, -1.4358758010917163, -0.3973277922747845, 1.8152310091178099, -0.5803213773523674, -0.5553677066599698]","[1.2461435909301235, -0.812359429530397, 1.2461435909301235, 0.03943492376361149, -1.5931709200499045, 0.8912292770576199, 0.6782806887341178, -0.812359429530397, -0.8833422923048977]","[1.1562002892235386, -0.7997052000462809, 1.1562002892235386, 0.00963500241019618, -1.5416003856313847, 0.8189752048666731, -0.7997052000462809]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
9,"[4, -16, -7, -14]","[-7, 4, -14, -16]","[6, -14, -5, -12]","[8, -32, -14, -28]","[0.25, -0.0625, -0.14285714285714285, -0.07142857142857142]","[2, 4, -16, -7, -14]","[4, -7, -14]","[1.566046791646453, -0.9907642967559194, 0.15980069302514827, -0.7350831879156821]","[0.15980069302514827, 1.566046791646453, -0.7350831879156821, -0.9907642967559194]","[1.566046791646453, -0.9907642967559194, 0.15980069302514827, -0.7350831879156821]","[1.566046791646453, -0.9907642967559194, 0.15980069302514827, -0.7350831879156821]","[1.695029858742645, -0.368484751900575, -0.899102794637403, -0.42744231220466694]","[1.0111904285173297, 1.2578222403508248, -1.208495877984126, -0.098652724733398, -0.9618640661506308]","[1.304771684930958, -0.17996850826633898, -1.1248031766646187]",No-violate,Violate,Violate,Violate,No-violate,No-violate,0,1,1,1,0,0
