,method_name,MR_per_v_cnt,MR_per_nv_cnt,MR_per_e_cnt,MR_add_v_cnt,MR_add_nv_cnt,MR_add_e_cnt,MR_mul_v_cnt,MR_mul_nv_cnt,MR_mul_e_cnt,MR_inv_v_cnt,MR_inv_nv_cnt,MR_inv_e_cnt,MR_inc_v_cnt,MR_inc_nv_cnt,MR_inc_e_cnt,MR_exc_v_cnt,MR_exc_nv_cnt,MR_exc_e_cnt
12,add_values_logs.json,0,1738,0,0,1738,0,841,897,0,727,771,240,0,1738,0,820,918,0
8,average_logs.json,0,1616,122,0,1616,122,841,775,122,727,649,362,563,1053,122,776,741,221
19,cnt_non_zeros_logs.json,0,1738,0,226,1512,0,0,1738,0,240,1498,0,0,1738,0,0,1738,0
1,cnt_zeros_logs.json,0,1738,0,201,1537,0,0,1738,0,0,1738,0,0,1738,0,0,1738,0
3,durbinWatson_logs.json,1390,225,123,794,818,126,0,1615,123,658,718,362,608,1007,123,778,738,222
15,entropy_logs.json,0,226,1512,63,147,1528,0,226,1512,24,186,1528,0,100,1638,1,125,1612
2,find_magnitude_logs.json,0,1616,122,758,858,122,0,1616,122,0,1376,362,0,1616,122,0,1517,221
10,find_max2_logs.json,1088,429,221,0,1517,221,198,1319,221,189,1089,460,95,1422,221,109,1307,322
13,find_max_logs.json,0,1616,122,0,1616,122,117,1499,122,115,1261,362,0,1616,122,0,1517,221
22,find_median_logs.json,0,1616,122,0,1616,122,836,780,122,740,636,362,575,1041,122,695,822,221
9,find_min_logs.json,0,1616,122,0,1616,122,1515,101,122,1275,101,362,80,1536,122,241,1276,221
18,geometric_mean_logs.json,0,93,1645,0,93,1645,0,93,1645,0,93,1645,90,3,1645,15,29,1694
4,harmonicMean_logs.json,0,93,1645,0,93,1645,0,93,1645,0,93,1645,89,4,1645,16,28,1694
21,kurtosis_logs.json,0,1313,425,0,1313,425,0,1313,425,933,146,659,272,1041,425,474,729,535
7,max_logs.json,0,1616,122,0,1616,122,117,1499,122,115,1261,362,0,1616,122,0,1517,221
11,min_logs.json,0,1616,122,0,1616,122,1515,101,122,1275,101,362,80,1536,122,251,1266,221
14,product_logs.json,0,1616,122,693,923,122,683,933,122,681,695,362,683,933,122,636,881,221
20,safeNorm_logs.json,0,1616,122,758,858,122,0,1616,122,0,1376,362,0,1616,122,0,1517,221
0,sampleVariance_logs.json,0,1517,221,0,1517,221,0,1517,221,0,1278,460,1365,152,221,838,578,322
16,skew_logs.json,0,1416,322,0,1416,322,0,1416,322,608,571,559,924,492,322,651,662,425
5,sumOfLogarithms_logs.json,0,215,1523,0,215,1523,0,215,1523,0,215,1523,0,215,1523,0,215,1523
17,sum_logs.json,0,1738,0,0,1738,0,841,897,0,727,771,240,0,1738,0,793,945,0
6,variance_logs.json,0,1616,122,0,1616,122,0,1616,122,0,1376,362,1328,288,122,767,750,221
