,method_name,MR_per_v,MR_per_nv,MR_per_e,MR_add_v,MR_add_nv,MR_add_e,MR_mul_v,MR_mul_nv,MR_mul_e,MR_inv_v,MR_inv_nv,MR_inv_e,MR_inc_v,MR_inc_nv,MR_inc_e,MR_exc_v,MR_exc_nv,MR_exc_e
7,canberraDistance_logs.json,82,18,0,56,44,0,1,99,0,0,56,44,1,99,0,1,99,0
19,chebyshevDistance_logs.json,69,24,6,0,94,6,0,94,6,0,50,50,0,94,6,0,88,12
15,chiSquare_logs.json,56,16,29,25,28,47,29,42,29,21,34,46,36,33,31,28,41,31
4,consineDistance_logs.json,83,10,6,57,36,6,0,94,6,25,25,50,89,5,6,43,45,12
13,covariance_logs.json,83,4,12,0,88,12,44,43,12,22,22,56,21,67,12,41,40,18
5,distance1_logs.json,75,25,0,0,100,0,0,100,0,0,56,44,0,100,0,0,100,0
9,distanceInf_logs.json,69,24,6,0,94,6,0,94,6,0,50,50,0,94,6,0,88,12
3,dotProduct_logs.json,83,17,0,33,67,0,35,65,0,19,37,44,0,100,0,39,61,0
22,errorRate_logs.json,31,63,7,6,87,7,2,92,7,0,93,7,93,0,7,3,84,13
23,find_euc_dist_logs.json,83,17,0,0,100,0,0,100,0,0,56,44,0,100,0,0,100,0
6,g_logs.json,1,8,91,1,8,91,0,9,91,0,8,91,0,9,91,0,9,91
14,hamming_dist_logs.json,32,68,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0
18,manhattanDistance2_logs.json,75,25,0,0,100,0,0,100,0,0,56,44,0,100,0,0,100,0
17,manhattanDistance_logs.json,75,25,0,0,100,0,0,100,0,0,56,44,0,100,0,0,100,0
20,meanDifference_logs.json,0,94,6,0,94,6,45,48,6,24,25,50,46,47,6,44,44,12
16,mean_absolute_error_logs.json,75,18,6,0,94,6,0,94,6,0,50,50,93,0,6,48,40,12
10,polevl_logs.json,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100
0,pooledVariance_logs.json,0,94,6,0,94,6,0,94,6,0,50,50,53,40,6,40,48,12
1,sampleWeightefVariance_logs.json,77,8,15,39,44,17,31,54,15,17,26,57,52,31,18,35,42,23
2,tanimotoDistance_logs.json,83,17,0,59,41,0,0,100,0,26,29,44,93,7,0,43,57,0
11,varianceDifference_logs.json,83,4,12,0,88,12,0,88,12,0,44,56,82,5,12,51,31,18
12,weightedAverage_logs.json,82,10,8,23,68,9,48,44,8,25,23,51,56,35,10,41,44,15
21,weightedMean_logs.json,82,10,8,23,68,9,48,44,8,25,23,51,56,35,10,41,44,15
8,weightedRMS_logs.json,61,10,30,27,41,32,0,79,21,0,34,66,34,40,26,33,35,32
