,key_original_file,isEmpty,has_zeros,has_duplicates,is_sorted,contains_even_numbers,contains_odd_numbers,contains_integers,contains_floats,more_positive_or_negative,weigth_of_list,vs,vs_str
0,0,False,True,True,False,True,True,True,False,n,wn,0,No-violate
1,1,False,False,False,False,True,True,True,False,e,wn,0,No-violate
2,2,False,True,True,False,True,True,True,False,n,wn,0,No-violate
3,3,False,False,False,False,False,True,True,False,e,wn,0,No-violate
4,4,False,False,False,False,True,False,True,False,e,wn,0,No-violate
5,5,False,False,False,True,True,False,True,False,n,wn,0,No-violate
6,6,False,False,False,False,True,True,True,False,p,wp,0,No-violate
7,7,False,False,False,False,True,True,True,False,n,wn,0,No-violate
8,8,False,False,True,False,True,True,True,False,n,wn,0,No-violate
9,9,False,False,False,False,True,True,True,False,n,wn,0,No-violate
10,10,False,False,False,True,False,True,True,False,n,wn,0,No-violate
11,11,False,True,True,False,True,False,True,False,e,wp,0,No-violate
12,12,False,False,False,False,True,True,True,False,n,wn,0,No-violate
13,13,False,False,True,False,True,True,True,False,n,wn,0,No-violate
14,14,False,False,True,False,True,True,True,False,n,wn,0,No-violate
15,15,True,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
16,16,False,False,False,False,True,True,True,False,n,wn,0,No-violate
17,17,False,False,False,False,True,True,True,False,n,wn,0,No-violate
18,18,False,False,True,False,True,True,True,False,n,wn,0,No-violate
19,19,False,False,True,False,True,True,True,False,n,wn,0,No-violate
20,20,False,True,False,False,True,True,True,False,n,wp,0,No-violate
21,21,False,True,True,False,True,True,True,False,n,wn,0,No-violate
22,22,False,True,False,False,True,True,True,False,e,wn,0,No-violate
23,23,False,False,True,False,True,True,True,False,p,wp,0,No-violate
24,24,False,False,True,False,True,True,True,False,p,wp,0,No-violate
25,25,False,False,True,False,True,True,True,False,p,wp,0,No-violate
26,26,False,True,False,False,True,True,True,False,p,wp,0,No-violate
27,27,False,False,False,False,True,True,True,False,n,wn,0,No-violate
28,28,False,False,False,False,False,True,True,False,n,wn,0,No-violate
29,29,False,True,True,False,True,True,True,False,e,wn,0,No-violate
30,30,False,False,False,False,True,True,True,False,p,wp,0,No-violate
31,31,False,False,True,False,True,True,True,False,n,wn,0,No-violate
32,32,False,False,False,False,True,True,True,False,n,wn,0,No-violate
33,33,False,False,False,False,True,True,True,False,e,wp,0,No-violate
34,34,False,False,True,False,True,True,True,False,p,wp,0,No-violate
35,35,False,False,False,False,True,True,True,False,e,wn,0,No-violate
36,36,False,True,True,False,True,True,True,False,n,wn,0,No-violate
37,37,False,False,True,False,True,True,True,False,p,wp,0,No-violate
38,38,False,False,False,False,True,True,True,False,n,wn,0,No-violate
39,39,False,False,False,False,True,True,True,False,n,wn,0,No-violate
40,40,False,False,True,False,True,True,True,False,n,wp,0,No-violate
41,41,False,False,True,False,True,True,True,False,n,wp,0,No-violate
42,42,False,True,False,False,True,True,True,False,p,wp,0,No-violate
43,43,True,NA,NA,NA,NA,NA,NA,NA,NA,we,0,No-violate
