,key_original_file,isEmpty,has_zeros,has_duplicates,is_sorted,contains_even_numbers,contains_odd_numbers,contains_integers,contains_floats,more_positive_or_negative,weigth_of_list,vs,vs_str
0,0,False,True,True,False,True,True,True,False,n,wn,1,Violate
1,1,False,False,False,False,True,True,True,False,e,wn,1,Violate
2,2,False,True,True,False,True,True,True,False,n,wn,1,Violate
3,3,False,False,False,False,False,True,True,False,e,wn,0,No-violate
4,4,False,False,False,False,True,False,True,False,e,wn,1,Violate
5,5,False,False,False,True,True,False,True,False,n,wn,0,No-violate
6,6,False,False,False,False,True,True,True,False,p,wp,1,Violate
7,7,False,False,False,False,True,True,True,False,n,wn,1,Violate
8,8,False,False,True,False,True,True,True,False,n,wn,1,Violate
9,9,False,False,False,False,True,True,True,False,n,wn,1,Violate
10,10,False,False,False,True,False,True,True,False,n,wn,0,No-violate
11,11,False,True,True,False,True,False,True,False,e,wp,1,Violate
12,12,False,False,False,False,True,True,True,False,n,wn,1,Violate
13,13,False,False,True,False,True,True,True,False,n,wn,1,Violate
14,14,False,False,True,False,True,True,True,False,n,wn,1,Violate
15,15,True,NA,NA,NA,NA,NA,NA,NA,NA,we,error,error
16,16,False,False,False,False,True,True,True,False,n,wn,1,Violate
17,17,False,False,False,False,True,True,True,False,n,wn,1,Violate
18,18,False,False,True,False,True,True,True,False,n,wn,1,Violate
19,19,False,False,True,False,True,True,True,False,n,wn,1,Violate
20,20,False,True,False,False,True,True,True,False,n,wp,1,Violate
21,21,False,True,True,False,True,True,True,False,n,wn,1,Violate
22,22,False,True,False,False,True,True,True,False,e,wn,1,Violate
23,23,False,False,True,False,True,True,True,False,p,wp,1,Violate
24,24,False,False,True,False,True,True,True,False,p,wp,1,Violate
25,25,False,False,True,False,True,True,True,False,p,wp,1,Violate
26,26,False,True,False,False,True,True,True,False,p,wp,1,Violate
27,27,False,False,False,False,True,True,True,False,n,wn,1,Violate
28,28,False,False,False,False,False,True,True,False,n,wn,0,No-violate
29,29,False,True,True,False,True,True,True,False,e,wn,1,Violate
30,30,False,False,False,False,True,True,True,False,p,wp,1,Violate
31,31,False,False,True,False,True,True,True,False,n,wn,1,Violate
32,32,False,False,False,False,True,True,True,False,n,wn,1,Violate
33,33,False,False,False,False,True,True,True,False,e,wp,1,Violate
34,34,False,False,True,False,True,True,True,False,p,wp,1,Violate
35,35,False,False,False,False,True,True,True,False,e,wn,0,No-violate
36,36,False,True,True,False,True,True,True,False,n,wn,1,Violate
37,37,False,False,True,False,True,True,True,False,p,wp,1,Violate
38,38,False,False,False,False,True,True,True,False,n,wn,1,Violate
39,39,False,False,False,False,True,True,True,False,n,wn,1,Violate
40,40,False,False,True,False,True,True,True,False,n,wp,1,Violate
