antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['weigth_of_list_wp'],['vs_str_Violate'],0.423728813559322,0.6610169491525424,0.3050847457627119,0.7200000000000001,1.0892307692307692,0.024992818155702423,1.2106537530266348,0.14215686274509823
['more_positive_or_negative_n'],['vs_str_Violate'],0.3559322033898305,0.6610169491525424,0.23728813559322035,0.6666666666666667,1.0085470085470087,0.002010916403332369,1.016949152542373,0.01315789473684206
['has_duplicates'],['vs_str_Violate'],0.3389830508474576,0.6610169491525424,0.2711864406779661,0.8,1.2102564102564104,0.04711289859235851,1.6949152542372885,0.2628205128205128
['has_zeros'],['vs_str_Violate'],0.3050847457627119,0.6610169491525424,0.2542372881355932,0.8333333333333333,1.2606837606837606,0.05257110025854636,2.033898305084745,0.2975609756097559
['more_positive_or_negative_p'],['vs_str_Violate'],0.3050847457627119,0.6610169491525424,0.22033898305084745,0.7222222222222222,1.0925925925925926,0.018672795173800605,1.2203389830508473,0.12195121951219495
"['weigth_of_list_wn', 'has_zeros']",['vs_str_Violate'],0.15254237288135594,0.6610169491525424,0.11864406779661017,0.7777777777777778,1.1766381766381766,0.01781097385808675,1.5254237288135593,0.17714285714285707
"['weigth_of_list_wn', 'has_duplicates']",['vs_str_Violate'],0.15254237288135594,0.6610169491525424,0.11864406779661017,0.7777777777777778,1.1766381766381766,0.01781097385808675,1.5254237288135593,0.17714285714285707
"['weigth_of_list_wp', 'has_duplicates']",['vs_str_Violate'],0.15254237288135594,0.6610169491525424,0.11864406779661017,0.7777777777777778,1.1766381766381766,0.01781097385808675,1.5254237288135593,0.17714285714285707
"['weigth_of_list_wp', 'is_sorted']",['vs_str_Violate'],0.15254237288135594,0.6610169491525424,0.1016949152542373,0.6666666666666666,1.0085470085470085,0.0008618213157138704,1.0169491525423726,0.009999999999999943
"['weigth_of_list_wp', 'has_zeros']",['vs_str_Violate'],0.13559322033898305,0.6610169491525424,0.13559322033898305,1.0,1.5128205128205128,0.04596380350474001,inf,0.392156862745098
"['more_positive_or_negative_n', 'has_duplicates']",['vs_str_Violate'],0.13559322033898305,0.6610169491525424,0.1016949152542373,0.75,1.1346153846153846,0.012065498419994256,1.3559322033898304,0.1372549019607843
"['more_positive_or_negative_p', 'has_duplicates']",['vs_str_Violate'],0.13559322033898305,0.6610169491525424,0.1016949152542373,0.75,1.1346153846153846,0.012065498419994256,1.3559322033898304,0.1372549019607843
"['weigth_of_list_wp', 'more_positive_or_negative_e']",['vs_str_Violate'],0.13559322033898305,0.6610169491525424,0.1016949152542373,0.75,1.1346153846153846,0.012065498419994256,1.3559322033898304,0.1372549019607843
"['has_zeros', 'has_duplicates']",['vs_str_Violate'],0.1016949152542373,0.6610169491525424,0.1016949152542373,1.0,1.5128205128205128,0.03447285262855501,inf,0.3773584905660377
