antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'vs_str_error'}),frozenset({'has_zeros'}),1.0,0.9411764705882353,0.9411764705882353,0.9411764705882353,1.0,0.0,1.0,0.0
"frozenset({'has_zeros', 'vs_str_error'})",frozenset({'weigth_of_list_wp'}),0.9411764705882353,0.47058823529411764,0.47058823529411764,0.5,1.0625,0.02768166089965396,1.0588235294117647,0.9999999999999991
frozenset({'has_zeros'}),"frozenset({'vs_str_error', 'weigth_of_list_wp'})",0.9411764705882353,0.47058823529411764,0.47058823529411764,0.5,1.0625,0.02768166089965396,1.0588235294117647,0.9999999999999991
frozenset({'has_zeros'}),frozenset({'vs_str_error'}),0.9411764705882353,1.0,0.9411764705882353,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'weigth_of_list_wp'})",frozenset({'has_zeros'}),0.47058823529411764,0.9411764705882353,0.47058823529411764,1.0,1.0625,0.02768166089965396,inf,0.11111111111111104
frozenset({'weigth_of_list_wp'}),"frozenset({'has_zeros', 'vs_str_error'})",0.47058823529411764,0.9411764705882353,0.47058823529411764,1.0,1.0625,0.02768166089965396,inf,0.11111111111111104
frozenset({'weigth_of_list_wp'}),frozenset({'vs_str_error'}),0.47058823529411764,1.0,0.47058823529411764,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros', 'weigth_of_list_wp'})",frozenset({'vs_str_error'}),0.47058823529411764,1.0,0.47058823529411764,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wn'}),frozenset({'vs_str_error'}),0.4117647058823529,1.0,0.4117647058823529,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wn'}),"frozenset({'has_zeros', 'vs_str_error'})",0.4117647058823529,0.9411764705882353,0.4117647058823529,1.0,1.0625,0.024221453287197214,inf,0.09999999999999994
"frozenset({'vs_str_error', 'weigth_of_list_wn'})",frozenset({'has_zeros'}),0.4117647058823529,0.9411764705882353,0.4117647058823529,1.0,1.0625,0.024221453287197214,inf,0.09999999999999994
"frozenset({'has_zeros', 'weigth_of_list_wn'})",frozenset({'vs_str_error'}),0.4117647058823529,1.0,0.4117647058823529,1.0,1.0,0.0,inf,0.0
frozenset({'has_duplicates'}),"frozenset({'has_zeros', 'vs_str_error'})",0.35294117647058826,0.9411764705882353,0.35294117647058826,1.0,1.0625,0.02076124567474047,inf,0.09090909090909086
frozenset({'has_duplicates'}),"frozenset({'has_zeros', 'weigth_of_list_wn', 'vs_str_error'})",0.35294117647058826,0.4117647058823529,0.17647058823529413,0.5,1.2142857142857144,0.031141868512110732,1.1764705882352942,0.2727272727272728
"frozenset({'vs_str_error', 'has_duplicates'})","frozenset({'has_zeros', 'weigth_of_list_wn'})",0.35294117647058826,0.4117647058823529,0.17647058823529413,0.5,1.2142857142857144,0.031141868512110732,1.1764705882352942,0.2727272727272728
"frozenset({'has_zeros', 'has_duplicates'})","frozenset({'vs_str_error', 'weigth_of_list_wn'})",0.35294117647058826,0.4117647058823529,0.17647058823529413,0.5,1.2142857142857144,0.031141868512110732,1.1764705882352942,0.2727272727272728
"frozenset({'has_zeros', 'vs_str_error', 'has_duplicates'})",frozenset({'weigth_of_list_wn'}),0.35294117647058826,0.4117647058823529,0.17647058823529413,0.5,1.2142857142857144,0.031141868512110732,1.1764705882352942,0.2727272727272728
frozenset({'more_positive_or_negative_e'}),"frozenset({'vs_str_error', 'weigth_of_list_wp'})",0.35294117647058826,0.47058823529411764,0.17647058823529413,0.5,1.0625,0.010380622837370235,1.0588235294117647,0.09090909090909086
