antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'vs_str_error'}),"frozenset({'weigth_of_list_wp', 'has_zeros'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),frozenset({'weigth_of_list_wp'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
"frozenset({'vs_str_error', 'has_zeros'})",frozenset({'weigth_of_list_wp'}),1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'has_zeros'}),"frozenset({'vs_str_error', 'weigth_of_list_wp'})",1.0,0.5,0.5,0.5,1.0,0.0,1.0,0.0
frozenset({'vs_str_error'}),frozenset({'has_zeros'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
frozenset({'has_zeros'}),frozenset({'vs_str_error'}),1.0,1.0,1.0,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'weigth_of_list_wp'})",frozenset({'has_zeros'}),0.5,1.0,0.5,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wp'}),"frozenset({'vs_str_error', 'has_zeros'})",0.5,1.0,0.5,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wp', 'has_zeros'})",frozenset({'vs_str_error'}),0.5,1.0,0.5,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wp'}),frozenset({'vs_str_error'}),0.5,1.0,0.5,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wn'}),"frozenset({'vs_str_error', 'has_zeros'})",0.4375,1.0,0.4375,1.0,1.0,0.0,inf,0.0
frozenset({'weigth_of_list_wn'}),frozenset({'vs_str_error'}),0.4375,1.0,0.4375,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'vs_str_error'})",frozenset({'has_zeros'}),0.4375,1.0,0.4375,1.0,1.0,0.0,inf,0.0
"frozenset({'weigth_of_list_wn', 'has_zeros'})",frozenset({'vs_str_error'}),0.4375,1.0,0.4375,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'has_zeros', 'has_duplicates'})",frozenset({'weigth_of_list_wp'}),0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
frozenset({'has_duplicates'}),"frozenset({'weigth_of_list_wn', 'has_zeros', 'vs_str_error'})",0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
"frozenset({'vs_str_error', 'has_duplicates'})","frozenset({'weigth_of_list_wn', 'has_zeros'})",0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
"frozenset({'has_zeros', 'has_duplicates'})","frozenset({'weigth_of_list_wn', 'vs_str_error'})",0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
"frozenset({'vs_str_error', 'has_zeros', 'has_duplicates'})",frozenset({'weigth_of_list_wn'}),0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
frozenset({'more_positive_or_negative_e'}),"frozenset({'vs_str_error', 'weigth_of_list_wp'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_e'})",frozenset({'weigth_of_list_wp'}),0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'vs_str_error', 'has_duplicates'})",frozenset({'weigth_of_list_wp'}),0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_e'})",frozenset({'has_zeros'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros', 'more_positive_or_negative_e'})",frozenset({'vs_str_error'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'more_positive_or_negative_e'}),"frozenset({'vs_str_error', 'has_zeros'})",0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'has_duplicates'}),"frozenset({'vs_str_error', 'weigth_of_list_wp'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'has_zeros', 'has_duplicates'})",frozenset({'vs_str_error'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'has_duplicates'}),"frozenset({'weigth_of_list_wn', 'vs_str_error'})",0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
"frozenset({'vs_str_error', 'has_duplicates'})",frozenset({'weigth_of_list_wn'}),0.375,0.4375,0.1875,0.5,1.1428571428571428,0.0234375,1.125,0.2
frozenset({'has_duplicates'}),"frozenset({'vs_str_error', 'has_zeros'})",0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'has_duplicates'})",frozenset({'has_zeros'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'has_duplicates'}),"frozenset({'vs_str_error', 'has_zeros', 'weigth_of_list_wp'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
frozenset({'has_duplicates'}),frozenset({'vs_str_error'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
frozenset({'more_positive_or_negative_e'}),frozenset({'vs_str_error'}),0.375,1.0,0.375,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros', 'more_positive_or_negative_e'})","frozenset({'vs_str_error', 'weigth_of_list_wp'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_e'})","frozenset({'weigth_of_list_wp', 'has_zeros'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'vs_str_error', 'has_zeros', 'more_positive_or_negative_e'})",frozenset({'weigth_of_list_wp'}),0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
frozenset({'more_positive_or_negative_e'}),"frozenset({'vs_str_error', 'has_zeros', 'weigth_of_list_wp'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'has_zeros', 'has_duplicates'})","frozenset({'vs_str_error', 'weigth_of_list_wp'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'vs_str_error', 'has_duplicates'})","frozenset({'weigth_of_list_wp', 'has_zeros'})",0.375,0.5,0.1875,0.5,1.0,0.0,1.0,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_p'})",frozenset({'weigth_of_list_wp'}),0.3125,0.5,0.1875,0.6,1.2,0.03125,1.25,0.24242424242424243
frozenset({'more_positive_or_negative_p'}),"frozenset({'vs_str_error', 'weigth_of_list_wp'})",0.3125,0.5,0.1875,0.6,1.2,0.03125,1.25,0.24242424242424243
"frozenset({'vs_str_error', 'more_positive_or_negative_n'})","frozenset({'weigth_of_list_wn', 'has_zeros'})",0.3125,0.4375,0.1875,0.6,1.3714285714285714,0.05078125,1.40625,0.3939393939393939
"frozenset({'vs_str_error', 'more_positive_or_negative_n'})",frozenset({'weigth_of_list_wn'}),0.3125,0.4375,0.1875,0.6,1.3714285714285714,0.05078125,1.40625,0.3939393939393939
"frozenset({'vs_str_error', 'has_zeros', 'more_positive_or_negative_p'})",frozenset({'weigth_of_list_wp'}),0.3125,0.5,0.1875,0.6,1.2,0.03125,1.25,0.24242424242424243
"frozenset({'has_zeros', 'more_positive_or_negative_n'})","frozenset({'weigth_of_list_wn', 'vs_str_error'})",0.3125,0.4375,0.1875,0.6,1.3714285714285714,0.05078125,1.40625,0.3939393939393939
"frozenset({'vs_str_error', 'has_zeros', 'more_positive_or_negative_n'})",frozenset({'weigth_of_list_wn'}),0.3125,0.4375,0.1875,0.6,1.3714285714285714,0.05078125,1.40625,0.3939393939393939
frozenset({'more_positive_or_negative_p'}),"frozenset({'vs_str_error', 'has_zeros'})",0.3125,1.0,0.3125,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_p'})","frozenset({'weigth_of_list_wp', 'has_zeros'})",0.3125,0.5,0.1875,0.6,1.2,0.03125,1.25,0.24242424242424243
"frozenset({'has_zeros', 'more_positive_or_negative_p'})","frozenset({'vs_str_error', 'weigth_of_list_wp'})",0.3125,0.5,0.1875,0.6,1.2,0.03125,1.25,0.24242424242424243
frozenset({'more_positive_or_negative_n'}),"frozenset({'weigth_of_list_wn', 'vs_str_error'})",0.3125,0.4375,0.1875,0.6,1.3714285714285714,0.05078125,1.40625,0.3939393939393939
frozenset({'more_positive_or_negative_n'}),"frozenset({'weigth_of_list_wn', 'has_zeros', 'vs_str_error'})",0.3125,0.4375,0.1875,0.6,1.3714285714285714,0.05078125,1.40625,0.3939393939393939
frozenset({'more_positive_or_negative_p'}),"frozenset({'vs_str_error', 'has_zeros', 'weigth_of_list_wp'})",0.3125,0.5,0.1875,0.6,1.2,0.03125,1.25,0.24242424242424243
"frozenset({'has_zeros', 'more_positive_or_negative_p'})",frozenset({'vs_str_error'}),0.3125,1.0,0.3125,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_n'})",frozenset({'has_zeros'}),0.3125,1.0,0.3125,1.0,1.0,0.0,inf,0.0
"frozenset({'vs_str_error', 'more_positive_or_negative_p'})",frozenset({'has_zeros'}),0.3125,1.0,0.3125,1.0,1.0,0.0,inf,0.0
frozenset({'more_positive_or_negative_p'}),frozenset({'vs_str_error'}),0.3125,1.0,0.3125,1.0,1.0,0.0,inf,0.0
frozenset({'more_positive_or_negative_n'}),frozenset({'vs_str_error'}),0.3125,1.0,0.3125,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros', 'more_positive_or_negative_n'})",frozenset({'vs_str_error'}),0.3125,1.0,0.3125,1.0,1.0,0.0,inf,0.0
frozenset({'more_positive_or_negative_n'}),"frozenset({'vs_str_error', 'has_zeros'})",0.3125,1.0,0.3125,1.0,1.0,0.0,inf,0.0
"frozenset({'has_zeros', 'is_sorted'})","frozenset({'vs_str_error', 'more_positive_or_negative_e'})",0.25,0.375,0.125,0.5,1.3333333333333333,0.03125,1.25,0.3333333333333333
"frozenset({'vs_str_error', 'has_zeros', 'is_sorted'})",frozenset({'more_positive_or_negative_e'}),0.25,0.375,0.125,0.5,1.3333333333333333,0.03125,1.25,0.3333333333333333
"frozenset({'vs_str_error', 'is_sorted'})","frozenset({'has_zeros', 'more_positive_or_negative_e'})",0.25,0.375,0.125,0.5,1.3333333333333333,0.03125,1.25,0.3333333333333333
