antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['weigth_of_list_wp'],['vs_str_No-violate'],0.44594594594594594,0.5675675675675675,0.44594594594594594,1.0,1.761904761904762,0.19284149013878743,inf,0.7804878048780488
"['weigth_of_list_wp', 'isEmpty_False']",['vs_str_No-violate'],0.44594594594594594,0.5675675675675675,0.44594594594594594,1.0,1.761904761904762,0.19284149013878743,inf,0.7804878048780488
"['weigth_of_list_wp', 'contains_even_numbers_True', 'isEmpty_False']",['vs_str_No-violate'],0.3783783783783784,0.5675675675675675,0.3783783783783784,1.0,1.761904761904762,0.16362308254200147,inf,0.6956521739130435
"['weigth_of_list_wp', 'contains_even_numbers_True']",['vs_str_No-violate'],0.3783783783783784,0.5675675675675675,0.3783783783783784,1.0,1.761904761904762,0.16362308254200147,inf,0.6956521739130435
['more_positive_or_negative_p'],['vs_str_No-violate'],0.32432432432432434,0.5675675675675675,0.24324324324324326,0.75,1.3214285714285714,0.05916727538349162,1.7297297297297298,0.3600000000000001
"['more_positive_or_negative_p', 'isEmpty_False']",['vs_str_No-violate'],0.32432432432432434,0.5675675675675675,0.24324324324324326,0.75,1.3214285714285714,0.05916727538349162,1.7297297297297298,0.3600000000000001
"['weigth_of_list_wp', 'is_sorted_False']",['vs_str_No-violate'],0.2972972972972973,0.5675675675675675,0.2972972972972973,1.0,1.761904761904762,0.1285609934258583,inf,0.6153846153846155
"['weigth_of_list_wp', 'is_sorted_False', 'isEmpty_False']",['vs_str_No-violate'],0.2972972972972973,0.5675675675675675,0.2972972972972973,1.0,1.761904761904762,0.1285609934258583,inf,0.6153846153846155
"['weigth_of_list_wp', 'contains_odd_numbers_True']",['vs_str_No-violate'],0.2972972972972973,0.5675675675675675,0.2972972972972973,1.0,1.761904761904762,0.1285609934258583,inf,0.6153846153846155
"['weigth_of_list_wp', 'has_zeros_False']",['vs_str_No-violate'],0.2972972972972973,0.5675675675675675,0.2972972972972973,1.0,1.761904761904762,0.1285609934258583,inf,0.6153846153846155
"['weigth_of_list_wp', 'contains_odd_numbers_True', 'isEmpty_False']",['vs_str_No-violate'],0.2972972972972973,0.5675675675675675,0.2972972972972973,1.0,1.761904761904762,0.1285609934258583,inf,0.6153846153846155
"['weigth_of_list_wp', 'isEmpty_False', 'has_zeros_False']",['vs_str_No-violate'],0.2972972972972973,0.5675675675675675,0.2972972972972973,1.0,1.761904761904762,0.1285609934258583,inf,0.6153846153846155
"['weigth_of_list_wp', 'has_duplicates_False']",['vs_str_No-violate'],0.28378378378378377,0.5675675675675675,0.28378378378378377,1.0,1.761904761904762,0.12271731190650109,inf,0.6037735849056604
"['weigth_of_list_wp', 'has_duplicates_False', 'isEmpty_False']",['vs_str_No-violate'],0.28378378378378377,0.5675675675675675,0.28378378378378377,1.0,1.761904761904762,0.12271731190650109,inf,0.6037735849056604
"['weigth_of_list_wp', 'is_sorted_False', 'contains_even_numbers_True']",['vs_str_No-violate'],0.25675675675675674,0.5675675675675675,0.25675675675675674,1.0,1.761904761904762,0.11102994886778669,inf,0.5818181818181818
"['more_positive_or_negative_p', 'contains_even_numbers_True']",['vs_str_No-violate'],0.25675675675675674,0.5675675675675675,0.20270270270270271,0.7894736842105264,1.3909774436090228,0.056975894813732664,2.0540540540540553,0.3781818181818183
"['more_positive_or_negative_p', 'contains_even_numbers_True', 'isEmpty_False']",['vs_str_No-violate'],0.25675675675675674,0.5675675675675675,0.20270270270270271,0.7894736842105264,1.3909774436090228,0.056975894813732664,2.0540540540540553,0.3781818181818183
"['weigth_of_list_wp', 'contains_even_numbers_True', 'is_sorted_False', 'isEmpty_False']",['vs_str_No-violate'],0.25675675675675674,0.5675675675675675,0.25675675675675674,1.0,1.761904761904762,0.11102994886778669,inf,0.5818181818181818
"['weigth_of_list_wp', 'contains_even_numbers_True', 'has_zeros_False']",['vs_str_No-violate'],0.22972972972972974,0.5675675675675675,0.22972972972972974,1.0,1.761904761904762,0.09934258582907232,inf,0.5614035087719298
"['weigth_of_list_wp', 'contains_even_numbers_True', 'has_duplicates_False']",['vs_str_No-violate'],0.22972972972972974,0.5675675675675675,0.22972972972972974,1.0,1.761904761904762,0.09934258582907232,inf,0.5614035087719298
"['weigth_of_list_wp', 'contains_odd_numbers_True', 'contains_even_numbers_True']",['vs_str_No-violate'],0.22972972972972974,0.5675675675675675,0.22972972972972974,1.0,1.761904761904762,0.09934258582907232,inf,0.5614035087719298
