antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['weigth_of_list_wn'],['vs_str_Violate'],0.4189189189189189,0.4189189189189189,0.4189189189189189,1.0,2.3870967741935485,0.24342585829072316,inf,0.9999999999999999
"['weigth_of_list_wn', 'isEmpty_False']",['vs_str_Violate'],0.4189189189189189,0.4189189189189189,0.4189189189189189,1.0,2.3870967741935485,0.24342585829072316,inf,0.9999999999999999
"['contains_even_numbers_True', 'weigth_of_list_wn']",['vs_str_Violate'],0.32432432432432434,0.4189189189189189,0.32432432432432434,1.0,2.3870967741935485,0.18845872899926955,inf,0.8600000000000001
"['contains_even_numbers_True', 'weigth_of_list_wn', 'isEmpty_False']",['vs_str_Violate'],0.32432432432432434,0.4189189189189189,0.32432432432432434,1.0,2.3870967741935485,0.18845872899926955,inf,0.8600000000000001
"['contains_odd_numbers_True', 'weigth_of_list_wn']",['vs_str_Violate'],0.3108108108108108,0.4189189189189189,0.3108108108108108,1.0,2.3870967741935485,0.1806062819576333,inf,0.8431372549019607
"['contains_odd_numbers_True', 'weigth_of_list_wn', 'isEmpty_False']",['vs_str_Violate'],0.3108108108108108,0.4189189189189189,0.3108108108108108,1.0,2.3870967741935485,0.1806062819576333,inf,0.8431372549019607
"['weigth_of_list_wn', 'has_zeros_False']",['vs_str_Violate'],0.2972972972972973,0.4189189189189189,0.2972972972972973,1.0,2.3870967741935485,0.1727538349159971,inf,0.8269230769230771
"['weigth_of_list_wn', 'has_zeros_False', 'isEmpty_False']",['vs_str_Violate'],0.2972972972972973,0.4189189189189189,0.2972972972972973,1.0,2.3870967741935485,0.1727538349159971,inf,0.8269230769230771
"['is_sorted_False', 'weigth_of_list_wn', 'isEmpty_False']",['vs_str_Violate'],0.28378378378378377,0.4189189189189189,0.28378378378378377,1.0,2.3870967741935485,0.16490138787436084,inf,0.8113207547169812
"['is_sorted_False', 'weigth_of_list_wn']",['vs_str_Violate'],0.28378378378378377,0.4189189189189189,0.28378378378378377,1.0,2.3870967741935485,0.16490138787436084,inf,0.8113207547169812
"['weigth_of_list_wn', 'has_duplicates_False']",['vs_str_Violate'],0.2702702702702703,0.4189189189189189,0.2702702702702703,1.0,2.3870967741935485,0.15704894083272464,inf,0.7962962962962964
"['weigth_of_list_wn', 'has_duplicates_False', 'isEmpty_False']",['vs_str_Violate'],0.2702702702702703,0.4189189189189189,0.2702702702702703,1.0,2.3870967741935485,0.15704894083272464,inf,0.7962962962962964
"['weigth_of_list_wn', 'contains_odd_numbers_True', 'is_sorted_False', 'isEmpty_False']",['vs_str_Violate'],0.22972972972972974,0.4189189189189189,0.22972972972972974,1.0,2.3870967741935485,0.13349159970781593,inf,0.7543859649122807
"['is_sorted_False', 'contains_odd_numbers_True', 'weigth_of_list_wn']",['vs_str_Violate'],0.22972972972972974,0.4189189189189189,0.22972972972972974,1.0,2.3870967741935485,0.13349159970781593,inf,0.7543859649122807
"['contains_even_numbers_True', 'is_sorted_False', 'weigth_of_list_wn']",['vs_str_Violate'],0.21621621621621623,0.4189189189189189,0.21621621621621623,1.0,2.3870967741935485,0.1256391526661797,inf,0.7413793103448276
"['contains_even_numbers_True', 'contains_odd_numbers_True', 'weigth_of_list_wn']",['vs_str_Violate'],0.21621621621621623,0.4189189189189189,0.21621621621621623,1.0,2.3870967741935485,0.1256391526661797,inf,0.7413793103448276
"['weigth_of_list_wn', 'contains_odd_numbers_True', 'isEmpty_False', 'has_zeros_False']",['vs_str_Violate'],0.21621621621621623,0.4189189189189189,0.21621621621621623,1.0,2.3870967741935485,0.1256391526661797,inf,0.7413793103448276
"['contains_odd_numbers_True', 'weigth_of_list_wn', 'has_zeros_False']",['vs_str_Violate'],0.21621621621621623,0.4189189189189189,0.21621621621621623,1.0,2.3870967741935485,0.1256391526661797,inf,0.7413793103448276
"['contains_even_numbers_True', 'weigth_of_list_wn', 'is_sorted_False', 'isEmpty_False']",['vs_str_Violate'],0.21621621621621623,0.4189189189189189,0.21621621621621623,1.0,2.3870967741935485,0.1256391526661797,inf,0.7413793103448276
"['contains_even_numbers_True', 'weigth_of_list_wn', 'contains_odd_numbers_True', 'isEmpty_False']",['vs_str_Violate'],0.21621621621621623,0.4189189189189189,0.21621621621621623,1.0,2.3870967741935485,0.1256391526661797,inf,0.7413793103448276
"['contains_even_numbers_True', 'weigth_of_list_wn', 'isEmpty_False', 'has_zeros_False']",['vs_str_Violate'],0.20270270270270271,0.4189189189189189,0.20270270270270271,1.0,2.3870967741935485,0.11778670562454346,inf,0.728813559322034
"['weigth_of_list_wn', 'more_positive_or_negative_n']",['vs_str_Violate'],0.20270270270270271,0.4189189189189189,0.20270270270270271,1.0,2.3870967741935485,0.11778670562454346,inf,0.728813559322034
"['contains_even_numbers_True', 'weigth_of_list_wn', 'has_duplicates_False', 'isEmpty_False']",['vs_str_Violate'],0.20270270270270271,0.4189189189189189,0.20270270270270271,1.0,2.3870967741935485,0.11778670562454346,inf,0.728813559322034
"['weigth_of_list_wn', 'more_positive_or_negative_n', 'isEmpty_False']",['vs_str_Violate'],0.20270270270270271,0.4189189189189189,0.20270270270270271,1.0,2.3870967741935485,0.11778670562454346,inf,0.728813559322034
"['contains_even_numbers_True', 'weigth_of_list_wn', 'has_duplicates_False']",['vs_str_Violate'],0.20270270270270271,0.4189189189189189,0.20270270270270271,1.0,2.3870967741935485,0.11778670562454346,inf,0.728813559322034
"['contains_even_numbers_True', 'weigth_of_list_wn', 'has_zeros_False']",['vs_str_Violate'],0.20270270270270271,0.4189189189189189,0.20270270270270271,1.0,2.3870967741935485,0.11778670562454346,inf,0.728813559322034
"['weigth_of_list_wn', 'is_sorted_False', 'isEmpty_False', 'has_zeros_False']",['vs_str_Violate'],0.1891891891891892,0.4189189189189189,0.1891891891891892,1.0,2.3870967741935485,0.10993425858290724,inf,0.7166666666666667
"['weigth_of_list_wn', 'contains_odd_numbers_True', 'isEmpty_False', 'has_duplicates_False']",['vs_str_Violate'],0.1891891891891892,0.4189189189189189,0.1891891891891892,1.0,2.3870967741935485,0.10993425858290724,inf,0.7166666666666667
"['contains_odd_numbers_True', 'has_duplicates_False', 'weigth_of_list_wn']",['vs_str_Violate'],0.1891891891891892,0.4189189189189189,0.1891891891891892,1.0,2.3870967741935485,0.10993425858290724,inf,0.7166666666666667
"['weigth_of_list_wn', 'has_duplicates_False', 'isEmpty_False', 'has_zeros_False']",['vs_str_Violate'],0.1891891891891892,0.4189189189189189,0.1891891891891892,1.0,2.3870967741935485,0.10993425858290724,inf,0.7166666666666667
"['is_sorted_False', 'weigth_of_list_wn', 'has_zeros_False']",['vs_str_Violate'],0.1891891891891892,0.4189189189189189,0.1891891891891892,1.0,2.3870967741935485,0.10993425858290724,inf,0.7166666666666667
"['weigth_of_list_wn', 'has_duplicates_False', 'has_zeros_False']",['vs_str_Violate'],0.1891891891891892,0.4189189189189189,0.1891891891891892,1.0,2.3870967741935485,0.10993425858290724,inf,0.7166666666666667
"['contains_even_numbers_True', 'weigth_of_list_wn', 'isEmpty_False', 'contains_odd_numbers_True', 'is_sorted_False']",['vs_str_Violate'],0.16216216216216217,0.4189189189189189,0.16216216216216217,1.0,2.3870967741935485,0.09422936449963477,inf,0.6935483870967741
"['contains_even_numbers_True', 'weigth_of_list_wn', 'more_positive_or_negative_n']",['vs_str_Violate'],0.16216216216216217,0.4189189189189189,0.16216216216216217,1.0,2.3870967741935485,0.09422936449963477,inf,0.6935483870967741
"['is_sorted_False', 'has_duplicates_False', 'weigth_of_list_wn']",['vs_str_Violate'],0.16216216216216217,0.4189189189189189,0.16216216216216217,1.0,2.3870967741935485,0.09422936449963477,inf,0.6935483870967741
"['contains_even_numbers_True', 'weigth_of_list_wn', 'contains_odd_numbers_True', 'is_sorted_False']",['vs_str_Violate'],0.16216216216216217,0.4189189189189189,0.16216216216216217,1.0,2.3870967741935485,0.09422936449963477,inf,0.6935483870967741
"['contains_even_numbers_True', 'weigth_of_list_wn', 'more_positive_or_negative_n', 'isEmpty_False']",['vs_str_Violate'],0.16216216216216217,0.4189189189189189,0.16216216216216217,1.0,2.3870967741935485,0.09422936449963477,inf,0.6935483870967741
"['weigth_of_list_wn', 'is_sorted_False', 'isEmpty_False', 'has_duplicates_False']",['vs_str_Violate'],0.16216216216216217,0.4189189189189189,0.16216216216216217,1.0,2.3870967741935485,0.09422936449963477,inf,0.6935483870967741
"['weigth_of_list_wn', 'isEmpty_False', 'contains_odd_numbers_True', 'is_sorted_False', 'has_zeros_False']",['vs_str_Violate'],0.14864864864864866,0.4189189189189189,0.14864864864864866,1.0,2.3870967741935485,0.08637691745799855,inf,0.6825396825396827
"['weigth_of_list_wn', 'contains_odd_numbers_True', 'is_sorted_False', 'has_zeros_False']",['vs_str_Violate'],0.14864864864864866,0.4189189189189189,0.14864864864864866,1.0,2.3870967741935485,0.08637691745799855,inf,0.6825396825396827
"['weigth_of_list_wn', 'has_duplicates_True']",['vs_str_Violate'],0.14864864864864866,0.4189189189189189,0.14864864864864866,1.0,2.3870967741935485,0.08637691745799855,inf,0.6825396825396827
"['weigth_of_list_wn', 'has_zeros_False', 'more_positive_or_negative_n', 'isEmpty_False']",['vs_str_Violate'],0.14864864864864866,0.4189189189189189,0.14864864864864866,1.0,2.3870967741935485,0.08637691745799855,inf,0.6825396825396827
"['weigth_of_list_wn', 'isEmpty_False', 'has_duplicates_True']",['vs_str_Violate'],0.14864864864864866,0.4189189189189189,0.14864864864864866,1.0,2.3870967741935485,0.08637691745799855,inf,0.6825396825396827
"['weigth_of_list_wn', 'more_positive_or_negative_n', 'has_zeros_False']",['vs_str_Violate'],0.14864864864864866,0.4189189189189189,0.14864864864864866,1.0,2.3870967741935485,0.08637691745799855,inf,0.6825396825396827
"['more_positive_or_negative_e', 'weigth_of_list_wn', 'isEmpty_False']",['vs_str_Violate'],0.13513513513513514,0.4189189189189189,0.13513513513513514,1.0,2.3870967741935485,0.07852447041636232,inf,0.671875
