antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['has_zeros'],['vs_str_No-violate'],0.35185185185185186,0.7037037037037037,0.25925925925925924,0.7368421052631579,1.0470914127423823,0.011659807956104218,1.1259259259259258,0.06938775510204062
['has_duplicates'],['vs_str_No-violate'],0.3333333333333333,0.7037037037037037,0.2777777777777778,0.8333333333333334,1.1842105263157896,0.0432098765432099,1.7777777777777781,0.23333333333333345
['more_positive_or_negative_e'],['vs_str_No-violate'],0.3148148148148148,0.7037037037037037,0.24074074074074073,0.7647058823529411,1.0866873065015479,0.019204389574759922,1.2592592592592589,0.11642411642411632
['more_positive_or_negative_p'],['vs_str_No-violate'],0.2962962962962963,0.7037037037037037,0.24074074074074073,0.8125,1.1546052631578947,0.032235939643347034,1.5802469135802468,0.1902834008097165
['weigth_of_list_we'],['vs_str_No-violate'],0.14814814814814814,0.7037037037037037,0.1111111111111111,0.75,1.0657894736842104,0.006858710562414258,1.1851851851851851,0.07246376811594195
['weigth_of_list_wp'],['vs_str_No-violate'],0.37037037037037035,0.7037037037037037,0.3333333333333333,0.9,1.2789473684210526,0.0727023319615912,2.9629629629629632,0.34640522875816987
"['has_zeros', 'has_duplicates']",['vs_str_No-violate'],0.12962962962962962,0.7037037037037037,0.1111111111111111,0.8571428571428571,1.2180451127819547,0.01989026063100137,2.074074074074073,0.20567375886524822
"['has_zeros', 'weigth_of_list_wp']",['vs_str_No-violate'],0.14814814814814814,0.7037037037037037,0.14814814814814814,1.0,1.4210526315789473,0.04389574759945129,inf,0.3478260869565217
"['more_positive_or_negative_p', 'has_duplicates']",['vs_str_No-violate'],0.1111111111111111,0.7037037037037037,0.1111111111111111,1.0,1.4210526315789473,0.03292181069958848,inf,0.33333333333333337
"['has_duplicates', 'weigth_of_list_wp']",['vs_str_No-violate'],0.12962962962962962,0.7037037037037037,0.12962962962962962,1.0,1.4210526315789473,0.03840877914951989,inf,0.3404255319148936
"['is_sorted', 'weigth_of_list_wp']",['vs_str_No-violate'],0.12962962962962962,0.7037037037037037,0.1111111111111111,0.8571428571428571,1.2180451127819547,0.01989026063100137,2.074074074074073,0.20567375886524822
"['more_positive_or_negative_e', 'weigth_of_list_wp']",['vs_str_No-violate'],0.1111111111111111,0.7037037037037037,0.1111111111111111,1.0,1.4210526315789473,0.03292181069958848,inf,0.33333333333333337
"['more_positive_or_negative_p', 'weigth_of_list_wp']",['vs_str_No-violate'],0.16666666666666666,0.7037037037037037,0.12962962962962962,0.7777777777777778,1.1052631578947367,0.012345679012345678,1.3333333333333333,0.11428571428571428
